name,category,price,image_url
Choc Arcor Crispy X80gr,chocolates,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/choc-arcor-crispy-x80gr.webp
Choc Arcor Leche/mani 80gr,chocolates,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/choc-arcor-lechemani-80gr.webp
Choc. Hersheys 73% Cacao X 83gr,chocolates,3800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/choc-hersheys-73-cacao-x-83gr.webp
Blanco X25 Gr,chocolates,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/blanco-x25-gr.webp
Block X 110gr,chocolates,3000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/block-x-110gr.webp
C/ Leche X25 Gr,chocolates,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/c-leche-x25-gr.webp
Cofler Block X 170gr,chocolates,5200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-block-x-170gr.webp
Tofi Blanco X 27 G,chocolates,1400,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tofi-blanco-x-27-g.webp
Tofi Leche X 28 Gr,chocolates,1400,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tofi-leche-x-28-gr.webp
Clfler Block Miti Miti X 170 Gr,chocolates,6800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/clfler-block-miti-miti-x-170-gr.webp
Cofler Aireado Blanco X 55gr,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-aireado-blanco-x-55gr.webp
Cofler Aireado Blanco/leche X 55 Gr,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-aireado-blancoleche-x-55-gr.webp
Cofler Blancoycookis X55 Gr,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-blancoycookis-x55-gr.webp
Cofler Block X 300gr,chocolates,11200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-block-x-300gr.webp
Cofler Graffiti Leche X45 Gr,chocolates,1800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-graffiti-leche-x45-gr.webp
Cofler Leche/almendras X 55gr,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-lechealmendras-x-55gr.webp
Cofler Relleno Avellana X35gr,chocolates,1600,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-relleno-avellana-x35gr.webp
Cofler Relleno Ddl/leche X38gr,chocolates,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-relleno-ddlleche-x38gr.webp
Cofler Yogur/frutilla X35 Gr,chocolates,1600,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-yogurfrutilla-x35-gr.webp
Coflre Aireado Almendras X 55 Gr,chocolates,2400,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/coflre-aireado-almendras-x-55-gr.webp
Coflre Aireado Bon O Bon X67 Gr,chocolates,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/coflre-aireado-bon-o-bon-x67-gr.webp
Coflre Aireado Leche X 55 Gr,chocolates,2400,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/coflre-aireado-leche-x-55-gr.webp
Coflre Leche C/ Rocklets,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/coflre-leche-c-rocklets.webp
Coflre Leche X 55gr,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/coflre-leche-x-55gr.webp
